pagina,seccion,descripcion,url_original_vista
servicios-industriales,header,Instalacion industrial textil/fabrica,https://images.unsplash.com/photo-1610891015188-5369212db097?auto=format&fit=crop&h=304&w=606
servicios-industriales,header,Instalacion industrial con carbon,https://images.unsplash.com/photo-1504841701427-b508918470e2?auto=format&fit=crop&h=304&w=606
servicios-industriales,proyectos,Vista aerea zona industrial,https://images.unsplash.com/photo-1601374652736-97e5371bff34?auto=format&fit=crop&h=360&w=606
servicios-industriales,proyectos,Represa/infraestructura industrial,https://images.unsplash.com/photo-1617888906201-877df8567c51?auto=format&fit=crop&h=360&w=606
servicios-industriales,galeria,Operario en planta con camisa azul,https://images.unsplash.com/photo-1542118294-96cce144c588?auto=format&fit=crop&h=464&w=606
servicios-industriales,galeria,Puerta industrial blanco y negro,https://images.unsplash.com/photo-1561798524-14861b28f0a8?auto=format&fit=crop&h=464&w=606
servicios-industriales,galeria,Tanques y tuberia industrial,https://images.unsplash.com/photo-1513828418004-7aa1c7e5c824?auto=format&fit=crop&h=464&w=606
servicios-industriales,galeria,Escena urbana con bandera Colombia,https://images.unsplash.com/photo-1671107977327-30678ff9ffa0?auto=format&fit=crop&h=464&w=606
servicios-industriales,galeria,Maquinaria/componentes metalicos,https://images.unsplash.com/photo-1458078713741-f4a422bc1ec4?auto=format&fit=crop&h=464&w=606
servicios-industriales,galeria,Camion tanque industrial,https://images.unsplash.com/photo-1696910135185-086f073956c4?auto=format&fit=crop&h=464&w=606
acreditaciones,certificaciones,Sello icontec Norsok S WA-006,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D440%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec-norsok-s-wa-006-1-m6L2vbNZZDsDe931.png
acreditaciones,certificaciones,Sello icontec Norsok S WA-006 - variante,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D467%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec-norsok-s-wa-006-1-m6L2vbNZZDsDe931.png
acreditaciones,certificaciones,Sello icontec ISO 45001,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D435%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-45001-1-m6L2vbNZb2fbb71b.png
acreditaciones,certificaciones,Sello icontec ISO 45001 - variante,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D442%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-45001-1-m6L2vbNZb2fbb71b.png
acreditaciones,certificaciones,Sello icontec ISO 14001,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D443%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-14001-1-Yan0BJN1JohavqKV.png
acreditaciones,certificaciones,Sello icontec ISO 14001 - variante,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D440%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-14001-1-Yan0BJN1JohavqKV.png
acreditaciones,certificaciones,Sello icontec ISO 9001,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D438%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-9001-1-A0xvNjBlvGuX427L.png
acreditaciones,certificaciones,Sello icontec ISO 9001 - variante,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D442%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/sello-icontec_iso-9001-1-A0xvNjBlvGuX427L.png
en,hero,Estructura metalica industrial blanco y negro,https://images.unsplash.com/photo-1652909490195-a069fd4499e1?auto=format&fit=crop&h=224&w=400
en,hero,Compresores Atlas Copco,https://images.unsplash.com/photo-1578459245460-a43770ff661f?auto=format&fit=crop&h=224&w=400
en,hero,Maquinaria roja industrial,https://images.unsplash.com/photo-1612479620013-1ec36413e07c?auto=format&fit=crop&h=224&w=400
en,acreditacion,Logo ONAC acreditado en sitio,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D375%2Ch%3D156%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/onac-YNq298V3gpSwvnjx.png
en,servicio,Valvulas azules y tuberia,https://images.unsplash.com/photo-1627269670033-952331317370?auto=format&fit=crop&h=344&w=606
en,servicio,Vista aerea lote industrial,https://images.unsplash.com/photo-1438287176429-e2d89fb13e37?auto=format&fit=crop&h=344&w=606
en,acreditacion,Logo ONAC acreditado grande en sitio,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D768%2Ch%3D318%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/onac-YNq298V3gpSwvnjx.png
en,NDT,Equipo ultrasonido sobre placa acero,https://assets.zyrosite.com/cdn-cgi/image/format%3Dauto%2Cw%3D1920%2Cfit%3Dcrop/mk3J3Dzl5zIwrvQ4/stock-photo-ultrasonic-test-to-detect-imperfection-or-defect-of-steel-plate-AE0r5zljWvul7MWw.jpeg
en,testimonio,avatar industria 48x48,https://images.unsplash.com/photo-1696541681346-b8787dbed51c?auto=format&fit=crop&h=48&w=48
en,testimonio,avatar tuberia 48x48,https://images.unsplash.com/photo-1513828742140-ccaa28f3eda0?auto=format&fit=crop&h=48&w=48
en,testimonio,avatar industria 56x57,https://images.unsplash.com/photo-1696541681346-b8787dbed51c?auto=format&fit=crop&h=56&w=57
en,testimonio,avatar tuberia 54x54,https://images.unsplash.com/photo-1513828742140-ccaa28f3eda0?auto=format&fit=crop&h=54&w=54
